,BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
0,29020,211,2018,5,20,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.0,0,0.83371156
1,29021,121,2018,7,6,0,4,Meal Plan 1,0,Room_Type 1,3,0,Offline,0,0,0,96.9,1,0.9880973
2,29022,30,2018,11,26,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,88.0,0,0.9851087
3,29023,256,2018,6,15,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,0.938035
4,29024,122,2018,11,25,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,67.0,0,0.4132584
5,29025,37,2017,11,6,1,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,37.33,0,0.7439387
6,29026,56,2018,12,7,0,3,Meal Plan 1,0,Room_Type 2,0,2,Online,0,0,0,82.44,1,0.9033408
7,29027,34,2018,6,19,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,81.0,0,0.69399464
8,29028,35,2018,6,21,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,102.0,1,0.99823505
9,29029,96,2018,4,10,2,1,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,121.8,1,0.991342
10,29030,57,2018,11,1,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.2,1,0.99699986
11,29031,169,2018,4,22,2,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,106.0,0,0.746479
12,29032,2,2017,9,10,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,1,0.95779216
13,29033,30,2018,10,5,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,157.5,2,0.9997758
14,29034,267,2018,12,31,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,121.5,0,0.0037985437
15,29035,46,2018,3,4,1,2,Meal Plan 1,1,Room_Type 4,2,0,Online,0,0,0,98.3,1,0.99058765
16,29036,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,0.80656475
17,29037,118,2018,4,13,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,0.8476016
18,29038,189,2018,10,23,1,0,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,85.5,2,0.9933786
19,29039,40,2018,6,30,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,117.9,1,0.97800463
20,29040,123,2018,8,13,2,2,Meal Plan 1,1,Room_Type 4,3,0,Online,0,0,0,155.7,1,0.961503
21,29041,68,2018,4,24,2,0,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,133.2,2,0.99756
22,29042,30,2018,3,30,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.5,0,0.9932064
23,29043,1,2018,10,20,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,135.0,2,0.9999894
24,29044,11,2017,10,9,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,155.0,2,0.99995625
25,29045,27,2018,4,15,2,4,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,142.72,0,0.99852663
26,29046,13,2018,5,9,1,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,90.0,0,0.8779827
27,29047,39,2018,3,28,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,117.9,1,0.99486595
28,29048,112,2018,5,4,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,101.58,1,0.9090448
29,29049,280,2018,9,19,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,110.0,0,0.13536
30,29050,196,2018,8,22,1,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,99.45,0,0.63593113
31,29051,273,2018,5,13,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,95.0,0,0.15719166
32,29052,111,2018,5,2,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,101.58,1,0.8461998
33,29053,34,2018,8,21,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,0.9598451
34,29054,4,2017,9,22,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,145.0,2,0.9999746
35,29055,195,2018,8,13,2,1,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,106.03,1,0.58141446
36,29056,13,2018,12,5,1,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,88.0,0,0.9921373
37,29057,78,2018,3,20,2,5,Meal Plan 1,0,Room_Type 4,2,1,Online,0,0,0,86.32,1,0.98926616
